iter	Passed	Remaining
0	140	140710
1	142	70875
2	143	47825
3	144	36048
4	145	29046
5	146	24313
6	147	20923
7	148	18376
8	148	16384
9	149	14790
10	149	13485
11	150	12400
12	151	11486
13	152	10706
14	152	10025
15	153	9419
16	153	8886
17	154	8409
18	154	7983
19	155	7600
20	155	7265
21	156	6979
22	158	6711
23	158	6457
24	159	6215
25	159	5990
26	160	5781
27	160	5586
28	161	5405
29	161	5235
30	162	5076
31	162	4927
32	163	4788
33	163	4658
34	164	4535
35	165	4418
36	165	4307
37	166	4202
38	166	4102
39	166	4006
40	167	3915
41	167	3830
42	168	3748
43	168	3669
44	169	3595
45	170	3535
46	171	3474
47	172	3423
48	173	3367
49	174	3309
50	174	3252
51	175	3200
52	176	3148
53	176	3097
54	177	3049
55	178	3001
56	178	2954
57	179	2920
58	180	2878
59	181	2835
60	181	2794
61	182	2754
62	182	2716
63	183	2679
64	183	2643
65	184	2607
66	185	2587
67	189	2594
68	190	2565
69	190	2534
70	191	2503
71	192	2475
72	192	2446
73	193	2417
74	194	2395
75	195	2374
76	196	2353
77	197	2330
78	197	2305
79	198	2279
80	198	2254
81	199	2229
82	199	2204
83	200	2186
84	204	2206
85	205	2187
86	206	2169
87	207	2151
88	208	2133
89	208	2112
90	209	2092
91	209	2072
92	210	2052
93	210	2033
94	211	2014
95	211	1995
96	212	1979
97	213	1966
98	214	1949
99	215	1936
100	216	1923
101	217	1911
102	217	1897
103	218	1883
104	219	1868
105	220	1856
106	220	1842
107	221	1829
108	222	1815
109	222	1801
110	223	1788
111	223	1774
112	224	1762
113	225	1749
114	226	1742
115	227	1732
116	227	1718
117	228	1706
118	229	1699
119	233	1709
120	234	1702
121	234	1690
122	235	1679
123	236	1672
124	237	1665
125	239	1659
126	239	1649
127	240	1639
128	241	1628
129	241	1616
130	242	1606
131	243	1598
132	243	1589
133	247	1596
134	248	1594
135	249	1585
136	250	1579
137	251	1570
138	251	1560
139	252	1551
140	253	1542
141	253	1532
142	254	1524
143	255	1517
144	255	1509
145	257	1503
146	258	1502
147	261	1502
148	262	1498
149	263	1490
150	263	1483
151	264	1475
152	264	1467
153	265	1458
154	266	1454
155	267	1448
156	268	1443
157	269	1435
158	269	1427
159	270	1419
160	270	1411
161	271	1404
162	273	1403
163	274	1400
164	276	1396
165	276	1391
166	277	1385
167	278	1380
168	279	1374
169	280	1367
170	280	1360
171	281	1354
172	281	1347
173	282	1342
174	283	1337
175	284	1331
176	287	1335
177	289	1334
178	290	1332
179	291	1329
180	292	1324
181	293	1318
182	295	1317
183	298	1324
184	301	1326
185	303	1329
186	304	1325
187	305	1319
188	306	1315
189	307	1309
190	307	1303
191	308	1297
192	308	1291
193	309	1286
194	310	1281
195	310	1275
196	311	1269
197	311	1263
198	312	1257
199	312	1251
200	313	1245
201	317	1252
202	318	1251
203	320	1250
204	321	1246
205	322	1242
206	322	1237
207	323	1231
208	324	1226
209	324	1221
210	325	1216
211	326	1213
212	326	1208
213	327	1202
214	327	1197
215	328	1192
216	330	1191
217	333	1197
218	334	1193
219	335	1189
220	336	1184
221	336	1179
222	337	1174
223	337	1170
224	338	1165
225	339	1161
226	340	1158
227	340	1153
228	341	1148
229	341	1143
230	342	1138
231	342	1134
232	343	1132
233	347	1138
234	348	1135
235	349	1131
236	350	1127
237	350	1123
238	351	1119
239	352	1115
240	352	1111
241	353	1106
242	354	1104
243	354	1099
244	355	1095
245	355	1090
246	356	1086
247	357	1083
248	357	1079
249	359	1078
250	362	1081
251	363	1080
252	364	1076
253	365	1073
254	365	1069
255	366	1065
256	367	1061
257	367	1057
258	368	1053
259	369	1050
260	370	1048
261	370	1044
262	371	1040
263	371	1036
264	372	1032
265	375	1035
266	377	1037
267	378	1033
268	379	1030
269	380	1027
270	380	1024
271	381	1022
272	382	1019
273	383	1016
274	384	1012
275	384	1008
276	385	1005
277	385	1001
278	386	997
279	386	994
280	388	993
281	391	996
282	392	995
283	393	992
284	394	989
285	395	986
286	395	983
287	396	979
288	396	976
289	397	973
290	398	969
291	398	966
292	399	963
293	400	960
294	400	957
295	407	968
296	408	967
297	409	964
298	409	961
299	410	958
300	411	954
301	412	952
302	412	949
303	413	947
304	414	944
305	415	941
306	415	938
307	416	935
308	423	947
309	425	946
310	426	944
311	426	941
312	427	938
313	428	935
314	428	932
315	429	929
316	430	926
317	431	924
318	431	921
319	435	926
320	439	929
321	440	927
322	441	924
323	441	922
324	442	919
325	443	917
326	444	915
327	445	911
328	445	908
329	447	907
330	449	909
331	451	908
332	451	905
333	452	902
334	453	899
335	453	896
336	454	894
337	455	892
338	457	891
339	457	888
340	458	885
341	458	883
342	459	880
343	460	878
344	462	878
345	465	879
346	466	878
347	467	876
348	468	873
349	469	871
350	469	868
351	470	865
352	470	863
353	471	860
354	472	857
355	473	855
356	474	854
357	475	852
358	478	854
359	480	854
360	482	853
361	482	851
362	483	848
363	483	845
364	484	842
365	485	840
366	485	837
367	486	835
368	487	833
369	487	830
370	488	828
371	488	825
372	489	823
373	491	822
374	493	821
375	494	819
376	494	817
377	495	815
378	496	812
379	496	810
380	497	808
381	497	805
382	498	803
383	499	800
384	501	801
385	504	802
386	505	801
387	506	799
388	507	796
389	508	794
390	509	792
391	509	790
392	510	788
393	511	786
394	511	783
395	512	782
396	514	781
397	515	779
398	515	776
399	521	782
400	522	780
401	522	777
402	523	775
403	523	772
404	524	770
405	525	768
406	526	766
407	526	764
408	527	762
409	528	760
410	528	758
411	529	755
412	530	753
413	530	751
414	533	751
415	534	750
416	535	748
417	536	747
418	538	746
419	539	744
420	539	742
421	540	740
422	540	737
423	541	735
424	541	733
425	542	731
426	543	729
427	544	727
428	544	725
429	545	723
430	546	721
431	551	725
432	552	723
433	553	721
434	553	719
435	554	717
436	554	714
437	555	713
438	557	711
439	557	709
440	558	707
441	558	705
442	559	703
443	559	701
444	560	699
445	562	698
446	564	698
447	565	696
448	565	694
449	566	692
450	566	689
451	567	688
452	568	685
453	568	684
454	569	682
455	569	679
456	570	677
457	570	675
458	571	673
459	571	671
460	572	669
461	572	667
462	573	665
463	574	663
464	576	663
465	577	661
